127.0.0.1 - - [25/Dec/2015:12:10:53 +0900] "GET / HTTP/1.1" 200 16339
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:11:24 +0900] "GET / HTTP/1.1" 200 16339
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:11:24 +0900] "GET /css/ezer.css HTTP/1.1" 200 240499
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:11:24 +0900] "GET /img/logo.png HTTP/1.1" 200 24074
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:11:24 +0900] "GET /img/cbm.jpg HTTP/1.1" 200 485828
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:11:24 +0900] "GET /img/g_main.jpg HTTP/1.1" 200 514791
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:11:24 +0900] "GET /img/sn.jpg HTTP/1.1" 200 436838
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:11:25 +0900] "GET /content/dam/company/global/images/common/colorbar-01.png HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:11:25 +0900] "GET /content/dam/company/global/images/common/icon_zoom.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:11:25 +0900] "GET /content/dam/company/global/images/common/text_bar.png HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:11:25 +0900] "GET /content/dam/company/global/images/common/btn_top_m_retina.png HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:11:25 +0900] "GET /content/dam/company/global/images/common/icon_sprite_retina.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:11:25 +0900] "GET /content/dam/company/global/images/common/blt_arrow_gray_retina.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:11:25 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:25:36 +0900] "GET / HTTP/1.1" 200 16339
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:25:37 +0900] "GET /css/ezer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2015:12:25:37 +0900] "GET /img/logo.png HTTP/1.1" 304 -
